layers,width,weights,macs,cost,accuracy,accuracy_drop,epochs,batch_size,learning_rate,device,seconds
1,10,7940,7940,1111600,73.25,26.75,2,256,0.01,cpu,1.4208614826202393
1,20,15880,15880,2223200,75.5,24.5,2,256,0.01,cpu,0.7333924770355225
1,40,31760,31760,4446400,79.49,20.510000000000005,2,256,0.01,cpu,0.6628296375274658
1,80,63520,63520,8892800,82.3,17.700000000000003,2,256,0.01,cpu,0.817734956741333
1,160,127040,127040,17785600,81.21,18.790000000000006,2,256,0.01,cpu,0.7794308662414551
1,200,158800,158800,22232000,81.53,18.47,2,256,0.01,cpu,0.8671958446502686
2,10,8040,8040,1125600,26.42,73.58,2,256,0.01,cpu,0.7866191864013672
2,20,16280,16280,2279200,35.97,64.03,2,256,0.01,cpu,0.6598169803619385
2,40,33360,33360,4670400,54.45,45.55,2,256,0.01,cpu,0.7923595905303955
2,80,69920,69920,9788800,58.24,41.76,2,256,0.01,cpu,0.744842529296875
2,160,152640,152640,21369600,69.26,30.739999999999995,2,256,0.01,cpu,0.9192280769348145
2,200,198800,198800,27832000,62.22,37.78,2,256,0.01,cpu,1.089829444885254
3,10,8140,8140,1139600,10.1,89.9,2,256,0.01,cpu,0.7006065845489502
3,20,16680,16680,2335200,26.06,73.94,2,256,0.01,cpu,0.8091883659362793
3,40,34960,34960,4894400,11.73,88.27,2,256,0.01,cpu,0.742560625076294
3,80,76320,76320,10684800,38.27,61.73,2,256,0.01,cpu,0.9112410545349121
3,160,178240,178240,24953600,33.04,66.96000000000001,2,256,0.01,cpu,1.0166501998901367
3,200,238800,238800,33432000,41.41,58.59,2,256,0.01,cpu,1.150451898574829
